curr,buy,sell
"


USD

","
15.920,00
","
15.940,00
"
"


SGD

","
11.856,72
","
11.869,96
"
"


EUR

","
16.771,21
","
16.785,88
"
"


AUD

","
10.367,77
","
10.382,00
"
"


DKK

","
2.230,33
","
2.268,64
"
"


SEK

","
1.424,41
","
1.464,30
"
"


CAD

","
11.397,71
","
11.411,67
"
"


CHF

","
18.017,78
","
18.039,26
"
"


NZD

","
9.332,14
","
9.345,20
"
"


GBP

","
20.133,97
","
20.151,74
"
"


HKD

","
2.042,91
","
2.050,96
"
"


JPY

","
102,86
","
102,95
"
"


SAR

","
4.239,38
","
4.246,63
"
"


CNH

","
2.193,66
","
2.203,53
"
"


MYR

","
3.556,05
","
3.572,05
"
"


THB

","
459,50
","
460,35
"
